pathway	external_id	source	hgnc_symbol_ids
Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	path:hsa04750	KEGG	CALM2,CALM3,CALM1,PTGER4,PIK3CA,PIK3CB,PIK3CD,NTRK1,PTGER2,PLA2G6,TRPV4,TRPV1,TRPV3,TRPV2,PIK3R1,CAMK2D,HRH1,CAMK2A,CAMK2B,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,ADCY3,ADCY8,ADCY9,NGF,IGF1,IL1R1,TRPM8,PIK3R2,HTR2C,HTR2B,PLCB1,PLCB2,PLCB3,PLCB4,ASIC5,ASIC4,ASIC1,ASIC3,ASIC2,ITPR2,ITPR3,ITPR1,GNAQ,GNAS,CALML3,CALML6,CALML5,CALML4,CYP2J2,MAPK14,PLA2G4C,PIK3R3,MAPK10,MAPK11,MAPK12,MAPK13,IL1B,MAPK8,MAPK9,SRC,BDKRB1,BDKRB2,KNG1,PRKCQ,JMJD7-PLA2G4B,PRKACG,PRKACA,PRKACB,F2RL1,MAP2K6,MAP2K3,PLCG2,PLCG1,ALOX12,TRPA1,PRKCH,CAMK2G,PRKCA,PRKCB,PRKCE,PRKCD,PRKCG,HTR2A,IL1RAP,P2RY2,PLA2G4B,PLA2G4A,PLA2G4F,PLA2G4E,PLA2G4D,PPP1CB,PPP1CC,PPP1CA
Non-small cell lung cancer - Homo sapiens (human)	path:hsa05223	KEGG	FHIT,MAP2K1,RASSF1,PIK3CD,CDKN1A,RASSF5,BAX,FOXO3,PLCG2,BAD,AKT3,ARAF,EML4,POLK,RXRG,CASP9,RAF1,EGF,SOS1,RARB,STAT3,ALK,PIK3CA,GADD45B,NRAS,RB1,GADD45G,MAPK3,MAPK1,PIK3R3,JAK3,PIK3R1,DDB2,CDK4,HRAS,PIK3R2,ERBB2,TGFA,CDKN2A,PRKCA,EGFR,PRKCB,RXRA,PRKCG,STAT5B,STK4,RET,HGF,TP53,KRAS,E2F3,SOS2,E2F1,AKT1,CCND1,KIF5A,KIF5B,KIF5C,AKT2,PLCG1,BAK1,MAP2K2,MET,STAT5A,GRB2,RXRB,BRAF,CDK6,GADD45A,PDPK1,E2F2,PIK3CB
Platelet activation - Homo sapiens (human)	path:hsa04611	KEGG	PTGS1,ACTG1,FYN,AKT1,AKT2,AKT3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,GP9,PRKG1,GP6,FGG,FGA,FGB,ADCY4,ARHGEF12,TBXAS1,PLA2G4A,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,SNAP23,SYK,ADCY3,ADCY8,ADCY9,F2R,GUCY1B1,ACTB,RASGRP2,PRKCI,RASGRP1,APBB1IP,ITGA2,MYLK,ORAI1,COL3A1,GUCY1A1,PIK3R6,PIK3R5,GUCY1A2,PIK3R3,PIK3R2,PIK3R1,PRKG2,PRKACA,PLCB1,PLCB2,PLCB3,PLCB4,PRKACB,ITPR2,ITPR3,RHOA,PTGIR,GNAQ,GNAS,JMJD7-PLA2G4B,VWF,BTK,RAP1B,RAP1A,MAPK14,MAPK11,MAPK12,MAPK13,ARHGEF1,GNAI2,GNAI3,GNAI1,FCER1G,ITPR1,ITGA2B,GP1BA,P2RY12,GP1BB,MAPK3,MAPK1,PPP1R12A,SRC,LCP2,MYLK4,MYLK2,MYLK3,FERMT3,GP5,LYN,F2,MYL12B,MYL12A,PRKACG,COL1A2,COL1A1,F2RL3,STIM1,TBXA2R,PLCG2,P2RX1,TLN2,TLN1,GNA13,ITGB1,ITGB3,NOS3,FCGR2A,PRKCZ,PLA2G4C,PLA2G4B,VASP,P2RY1,PLA2G4F,PLA2G4E,PLA2G4D,PPP1CB,PPP1CC,PPP1CA,VAMP8,ROCK1,ROCK2,ARHGAP35
Cell adhesion molecules - Homo sapiens (human)	path:hsa04514	KEGG	NRCAM,CD34,GLG1,TIGIT,VTCN1,CD226,L1CAM,CD40LG,PECAM1,NTNG1,NTNG2,SPN,VSIR,CDH3,CDH2,CDH5,CDH4,CD8A,HLA-DPB1,CD28,LRRC4,HLA-DRB3,HLA-DRB1,HLA-DRB4,HLA-DRB5,NEGR1,LRRC4C,LRRC4B,NRXN3,NRXN2,NRXN1,MAG,ITGA8,ITGA9,HLA-C,HLA-B,HLA-A,HLA-G,HLA-F,HLA-E,CNTN2,CNTN1,CD99L2,MADCAM1,IGSF11,CLDN8,CLDN9,HLA-DQB1,ITGB8,CLDN1,CLDN2,CLDN3,CLDN4,CLDN5,CLDN6,CLDN7,CTLA4,CLDN20,JAM2,JAM3,NFASC,F11R,CD99,SDC1,SDC2,SDC3,SDC4,ITGAV,ITGAL,ITGAM,ESAM,CD80,MPZ,CLDN10,CLDN11,CLDN16,CLDN17,CLDN14,CLDN15,CLDN18,CLDN19,CD4,CD6,CD2,NCAM1,NCAM2,PVR,MPZL1,ALCAM,CD86,NECTIN2,NECTIN3,NECTIN1,ICAM3,ICAM2,ICAM1,CADM3,PDCD1,ICOS,NLGN2,NLGN3,NLGN1,ITGA4,CDH1,ITGA6,OCLN,CD8B,HLA-DOA,HLA-DOB,CD274,HLA-DPA1,CADM1,CD276,CDH15,CLDN34,CD58,VCAN,CNTNAP1,CNTNAP2,HLA-DMB,HLA-DRA,ICOSLG,SELPLG,NEO1,VCAM1,CD22,ITGB1,ITGB2,ITGB7,CLDN23,CLDN22,NLGN4Y,NLGN4X,CD40,CLDN25,CLDN24,PDCD1LG2,SELL,SELE,CD8B2,SIGLEC1,PTPRF,PTPRC,PTPRM,SELP,HLA-DQA1,HLA-DQA2,HLA-DMA
Chronic myeloid leukemia - Homo sapiens (human)	path:hsa05220	KEGG	HDAC1,TGFB1,TGFB2,TGFB3,CRKL,SMAD4,CDKN1B,CDKN1A,NFKBIA,GAB2,MAP2K1,SMAD3,IKBKB,MAP2K2,BAD,AKT3,ARAF,IKBKG,POLK,SOS2,ABL1,CRK,RAF1,BCR,CDK6,RUNX1,MECOM,PIK3CA,GADD45B,NRAS,RB1,GADD45G,MAPK3,MAPK1,PIK3R3,PIK3R2,PIK3R1,HDAC2,DDB2,NFKB1,MYC,HRAS,SHC4,TGFBR2,TGFBR1,CDKN2A,SHC1,SHC2,SHC3,CHUK,PIK3CD,BAX,TP53,MDM2,RELA,KRAS,E2F3,E2F2,E2F1,AKT1,CCND1,PTPN11,AKT2,CBL,BAK1,STAT5B,STAT5A,GRB2,CDK4,BRAF,BCL2L1,GADD45A,CTBP1,CTBP2,PIK3CB,SOS1
ECM-receptor interaction - Homo sapiens (human)	path:hsa04512	KEGG	TNXB,CD36,RELN,SV2A,GP5,GP6,SV2B,DMP1,FN1,FREM2,FREM1,ITGA8,ITGA9,ITGA1,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA10,ITGA11,LAMB1,LAMB3,LAMB2,IBSP,LAMB4,THBS4,ITGB6,THBS2,THBS3,THBS1,CD44,SPP1,HMMR,FRAS1,COL4A6,COL4A5,COL4A4,COL4A3,DAG1,COL4A1,LAMC2,LAMC3,LAMC1,VTN,SDC1,SDC4,ITGAV,VWF,COL4A2,CHAD,COL2A1,ITGA2B,GP1BA,GP1BB,GP9,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,COMP,COL9A2,COL9A3,COL9A1,COL1A2,SV2C,NPNT,HSPG2,COL1A1,AGRN,ITGB1,ITGB3,ITGB5,ITGB4,ITGB7,TNR,ITGB8,CD47,TNC,TNN,DSPP,COL6A1,COL6A3,COL6A2,COL6A5,COL6A6
T cell receptor signaling pathway - Homo sapiens (human)	path:hsa04660	KEGG	PPP3R2,PPP3R1,FYN,IKBKB,AKT1,AKT2,AKT3,IKBKG,DLG1,MAP3K8,PIK3CA,PIK3CB,PIK3CD,MAP3K7,RELA,CBLB,CD28,IFNG,KRAS,MAPK14,CSF2,GSK3B,GRB2,LAT,PAK5,PAK6,CD3D,PAK1,PAK2,PAK3,NFATC1,NFATC2,NFATC3,NFKBIB,HRAS,NFKBIA,NFKBIE,JUN,GRAP2,PIK3R3,PIK3R2,PIK3R1,CDK4,CTLA4,FOS,CHUK,PAK4,RHOA,PTPN6,VAV1,VAV3,VAV2,CD3E,CD3G,LCK,CD40LG,CD4,RASGRP1,MAPK10,MAPK11,MAPK12,MAPK13,RAF1,TEC,MAPK3,MAPK1,NFKB1,MAPK8,MAPK9,PDCD1,ICOS,CD8A,CD8B,ITK,SOS1,IL10,MAP2K1,IL4,IL5,IL2,SOS2,CDC42,BUB1B-PAK6,MAP2K2,PLCG1,CD247,MAP2K7,NRAS,ZAP70,MAP3K14,MALT1,CARD11,TNF,PDPK1,PRKCQ,LCP2,BCL10,NCK1,NCK2,CD8B2,PTPRC,PPP3CA,PPP3CB,PPP3CC
Coronavirus disease - COVID-19 - Homo sapiens (human)	path:hsa05171	KEGG	C4A,MASP2,IL6ST,IKBKB,C5AR1,IKBKG,CGAS,IKBKE,RPL4,TYK2,FAU,RPL22L1,PIK3CA,PIK3CB,PIK3CD,MAP3K7,RPS26,OAS3,OAS2,IFNA13,ISG15,RELA,IRAK1,IFNA17,FGA,FGB,PIK3R2,IFNA6,C4B,IFIH1,RPL14,RPL15,IFNA8,RPL10,RPL11,RPL12,RPL13,CXCL10,RPL18,RPL19,RPL3L,IFNAR2,SYK,CXCL8,C1QC,MASP1,C1QA,CSF3,TLR2,TLR3,UBA52,IFNAR1,TLR7,RPS15,ACE2,TLR8,MAVS,MAPK11,CCL2,RPL37A,RPS27L,RPL9,NFKBIB,EIF2AK2,RPL27A,RPS27A,MX2,RPL3,C1QB,TAB2,CSF2,IL2,IFNA4,DDX58,RPL7A,ADAR,JUN,RPL5,IFNA10,PIK3R3,RPS9,PIK3R1,JAK1,RPS3A,MYD88,C8G,TLR4,FOS,CHUK,MAPK14,VWF,IRF3,STAT1,TNFRSF1A,IRF9,RPL8,STING1,RSL24D1,RPL17-C18orf32,AGTR1,ACE,RPLP2,RPLP1,RPLP0,RPL18A,RPL35A,RPS15A,RPS7,RPS6,RPS5,RPS3,RPS2,MAPK12,MAPK13,RPL36AL,IL1B,RPL36A-HNRNPH2,RPL41,RPS8,RPS4Y2,OAS1,RPS4Y1,STAT3,STAT2,TBK1,MAPK3,RPL6,IFNB1,HBEGF,C9,MAPK1,RPL7,C3,NFKB1,MAPK8,MAPK9,C7,C6,C5,RPL36A,RPS27,RPS24,RPS25,RPS23,RPS20,RPS21,F13B,RPS28,RPS29,NLRP3,MAS1,C2,RPS4X,MX1,F2,FGG,RPS10-NUDT3,RPSA,PLCG2,IFNA2,IFNA1,CASP1,IFNA7,C8B,IFNA5,IFNA16,IL6,IFNA21,RPL10A,IRAK4,C3AR1,RPL10L,IFNA14,CFD,RPS13,RPS12,RPS11,RPS10,RPS17,RPS16,RPL23A,RPS14,CFB,RPS19,RPS18,EGFR,IL12B,IL12A,C8A,PLCG1,MAPK10,ADAM17,F13A1,MBL2,RPL29,RPL28,RPL24,RPL27,RPL26,RPL21,RPL13A,RPL23,RPL22,TRAF3,NFKBIA,TRAF6,PRKCA,TMPRSS2,PRKCB,PRKCG,FCGR2A,CYBB,TNF,IL6R,NRP1,RPL26L1,RPL38,RPL39,RPL36,RPL37,RPL34,RPL35,RPL32,RPL30,RPL31,RPL17,C1S,C1R,SELP,MMP3,MMP1
Focal adhesion - Homo sapiens (human)	path:hsa04510	KEGG	ACTG1,CRKL,FYN,MYL7,AKT2,MYL5,MYL2,RAPGEF1,CAV2,CAV3,ZYX,MYL9,PIK3CA,PIK3CB,PIK3CD,RELN,ERBB2,IGF1R,DIAPH1,SHC2,SHC3,RAP1B,MYL12B,MYLK2,SOS1,FN1,AKT1,CCND1,CCND3,CCND2,MYLK,GSK3B,PTEN,AKT3,PAK4,PAK5,ACTB,PAK1,PAK2,PAK3,ITGA8,ITGA9,ITGA1,ITGA2,ITGA3,ITGA4,PDGFB,ITGA6,ITGA7,ITGA10,ITGA11,BCL2,LAMB1,CRK,LAMB3,LAMB2,IBSP,LAMB4,RAC3,ELK1,COL2A1,THBS4,RAC1,JUN,THBS3,THBS1,GRB2,PIK3R3,PIK3R2,PIK3R1,COL1A2,CAV1,IGF1,MYL10,VEGFD,COL4A5,COL4A4,VEGFA,COL4A2,VEGFC,VEGFB,LAMC2,LAMC3,RHOA,LAMC1,BCAR1,PAK6,VTN,COL4A3,COL4A6,VAV1,VAV3,VAV2,ITGAV,FLNA,VWF,FLNC,PDGFD,PDGFRB,PDGFRA,COL4A1,CHAD,ILK,RAP1A,RAC2,XIAP,MAPK10,BIRC3,TNR,SOS2,FLT4,RAF1,FLT1,THBS2,ITGA2B,MAPK3,MAPK1,PPP1R12A,PPP1R12B,PPP1R12C,PARVB,MAPK8,PARVA,EGF,PARVG,KDR,CAPN2,LAMA1,LAMA2,DOCK1,LAMA4,LAMA5,BUB1B-PAK6,COMP,MYLK4,COL9A2,MYLK3,ITGA5,PPP1CB,MAPK9,RASGRF1,MYL12A,PIP5K1C,PIP5K1B,PIP5K1A,PPP1CA,MAP2K1,TNN,MET,SPP1,COL1A1,CDC42,SHC4,PTK2,SRC,EGFR,BIRC2,CTNNB1,BAD,LAMA3,MYLPF,ARHGAP5,SHC1,PGF,TLN2,TLN1,PXN,ARHGAP35,ITGB1,PDGFA,ITGB3,PDGFC,ITGB5,ITGB4,ITGB7,ITGB6,PRKCA,ITGB8,PRKCB,VCL,PRKCG,COL9A3,TNC,HGF,VASP,COL9A1,FLNB,ACTN1,TNXB,HRAS,PPP1CC,ACTN4,ROCK1,ROCK2,BRAF,COL6A1,PDPK1,COL6A3,COL6A2,COL6A5,COL6A6
Protein export - Homo sapiens (human)	path:hsa03060	KEGG	SPCS1,HSPA5,SPCS3,OXA1L,SEC62,SEC63,IMMP2L,SRP54,SRPRB,SPCS2,SRPRA,SRP14,SRP19,SRP72,SRP9,IMMP1L,SEC61G,SEC61B,SEC11A,SEC11C,SRP68,SEC61A1,SEC61A2
Pyruvate metabolism - Homo sapiens (human)	path:hsa00620	KEGG	PCK2,GRHPR,PCK1,ME3,ALDH3A2,LDHAL6B,LDHAL6A,AKR1A1,ME1,MDH2,MDH1,ME2,FH,PKLR,PC,HAGH,DLD,ACYP2,ACAT1,ACAT2,LDHD,GLO1,PDHB,LDHA,LDHB,PKM,PDHA2,PDHA1,ACACA,ACACB,ACSS2,ACSS1,DLAT,ALDH9A1,ALDH7A1,ALDH1B1,ACOT12,ACYP1,ADH7,ADH6,ADH5,ADH4,ALDH2,ADH1C,ADH1B,ADH1A,LDHC
